64	0.096	-7.99999846	-0.0001725553141	4.114726245e-12	7.214728067e-05	-0.008018393098	4.891808619e-10	0.002318663306	-0.2531082366	5.90456645e-08
128	0.192	-7.999976481	-0.002509535541	3.513237323e-10	0.0004166579267	-0.04294466959	7.646721227e-09	0.004311054649	-0.4042944964	2.727230891e-07
192	0.288	-7.999915978	-0.008409841379	4.707869922e-09	0.0008465017417	-0.07873096098	1.054166778e-07	0.004546662703	-0.3301569449	9.573766361e-07
256	0.384	-7.999814113	-0.01734154242	1.662850106e-08	0.001277271535	-0.1059062247	1.298355583e-07	0.004609952599	-0.2404232254	-3.999544626e-07
320	0.48	-7.999670745	-0.02850344835	2.902283107e-08	0.001710055301	-0.1255769568	1.809651827e-07	0.004483065582	-0.1741610489	1.931846688e-06
384	0.576	-7.999485407	-0.04128355585	5.732996753e-08	0.002153694525	-0.139944197	4.04740489e-07	0.004713694528	-0.1283030112	1.865642185e-06
448	0.672	-7.999256395	-0.0552546548	1.037430838e-07	0.002620938	-0.1506016969	5.747883592e-07	0.004896449881	-0.09592635004	1.924360168e-06
512	0.768	-7.998982005	-0.07011358646	1.651755629e-07	0.003098831181	-0.1585636023	6.626951865e-07	0.00504078952	-0.0710671224	4.219165615e-07
576	0.864	-7.998660684	-0.08563296215	2.347314773e-07	0.003596426829	-0.1644479699	8.133487868e-07	0.005139569521	-0.0517833019	2.172857104e-06
640	0.96	-7.99829167	-0.1016343963	3.242281033e-07	0.004092840574	-0.1686729429	1.04555625e-06	0.005172636352	-0.03648326972	2.385413417e-06
704	1.056	-7.997875252	-0.1179770496	4.321227181e-07	0.004582083218	-0.1716268876	1.210769141e-06	0.00568564233	-0.02700773288	5.413420485e-06
768	1.152	-7.997413018	-0.1345571781	5.596932186e-07	0.005038913405	-0.1736663513	1.482365834e-06	0.000610906042	-0.01659217523	1.609652118e-06
832	1.248	-7.996911375	-0.1513083845	7.017185689e-07	0.005480399614	-0.1751814667	1.491721106e-06	0.003086631464	0.01580147692	2.652284617e-06
