2304	8.64	4.418836032	0.7444396045	-4.524629881e-18	-0.01984235971	0.1027946697	1.808148522e-15	-0.001758637915	0.001876936552	9.642916385e-13
2368	8.88	4.41402193	0.7691649864	-4.56464525e-18	-0.02025766943	0.1032533641	1.824124923e-15	-0.001468756721	0.00191429399	9.72787045e-13
2432	9.12	4.40912189	0.7940079385	-4.614450294e-18	-0.020565207	0.1037738119	1.844058418e-15	-0.001272799839	0.001921848113	9.834097231e-13
2496	9.36	4.404154316	0.818978316	-4.675114575e-18	-0.02082073138	0.1043357829	1.86824177e-15	-0.0009599495459	0.002446330006	9.96296175e-13
2560	9.6	4.399127739	0.8440892766	-4.739020001e-18	-0.02105470766	0.1049242498	1.893875776e-15	-0.0007185085609	0.002409566813	1.009950346e-12
2624	9.84	4.394056575	0.8693476786	-4.807522412e-18	-0.02120115153	0.1055613643	1.921263744e-15	-0.0007299576768	0.002304514249	1.024558712e-12
2688	10.08	4.388949838	0.894759969	-4.881233662e-18	-0.02135948823	0.106227949	1.950801781e-15	-0.0007206036631	0.002772068749	1.040311073e-12
2752	10.32	4.383797036	0.920336106	-4.952841549e-18	-0.02158146751	0.1069036863	1.979483283e-15	-0.0006918123301	0.002834712616	1.055598947e-12
2816	10.56	4.378590581	0.9460778401	-5.02319286e-18	-0.02182263817	0.1075967491	2.007633976e-15	-0.001409611643	0.00240661302	1.070618125e-12
2880	10.8	4.373311682	0.9719852869	-5.09392878e-18	-0.02219747995	0.1083025051	2.035836985e-15	-0.001836979815	0.002720478959	1.085674723e-12
2944	11.04	4.367920006	0.998061127	-5.158002032e-18	-0.02273376845	0.1089950434	2.061480564e-15	-0.002100621188	0.005294448493	1.099337006e-12
3008	11.28	4.362386701	1.024297268	-5.216291772e-18	-0.02340335887	0.1096230612	2.084840749e-15	-0.00327328089	0.00256953435	1.111811871e-12
3072	11.52	4.35666998	1.050686428	-5.269883452e-18	-0.02429168258	0.1102704877	2.106196338e-15	-0.004261062346	0.002696476929	1.123226019e-12
