# ############################################################################### 
# # Psi4 Analysis Quantities
# # det no.=5 rdet=75
# # gnuplot column index:
# # 1:t 2:E 3:Px 4:Py 5:Pz 6:dE/dt 7:dPx/dt 8:dPy/dt 9:dPz/dt 10:dJ^x/dt 11:dJ^y/dt 12:dJ^z/dt 13:J^x 14:J^y 15:J^z
# 
0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
2.285714285714284255e-01	2.919969876427021312e-14	-4.413704803321583877e-15	3.216462840632528582e-16	2.821808818473052526e-30	1.277486820936822771e-13	-1.930995851453194100e-14	1.407202492776732222e-15	1.234541358081961242e-29	1.874037822620325820e-31	-4.800853856016356258e-30	3.045389124646365078e-20	4.283515023132170723e-32	-1.097338024232309376e-30	6.960889427763115536e-21
4.571428571428568510e-01	1.462804076140647447e-13	-2.211444545802804444e-14	1.604043751520358453e-15	-3.025354678799570951e-29	5.122281012178514356e-13	-7.744074036434081298e-14	5.610488920124840766e-15	-1.447046807783009067e-28	1.508659379216362926e-30	1.427737314746342385e-29	-3.694554101519463622e-17	3.876715797664901603e-31	2.166061552330757207e-30	-8.437734199759576733e-18
6.857142857142852765e-01	4.103466709129513455e-13	-6.204416919587548209e-14	4.479580115520092927e-15	-5.570986463975261176e-29	1.155289901932629509e-12	-1.746925413530826569e-13	1.258047159249884668e-14	-1.113713906014365181e-28	1.145234110901564144e-29	9.295766407117964954e-30	-2.208405105868893279e-16	3.005349547541492042e-30	4.290808159672004978e-30	-5.891556519104852922e-17
9.142857142857137021e-01	8.809273080830792142e-13	-1.332134031079416621e-13	9.573806693037109617e-15	-4.172797898077844285e-29	2.058790287619310827e-12	-3.113653983652897017e-13	2.228724127663696311e-14	6.117074975801202751e-29	-1.255420126276473430e-30	9.035387962472855615e-29	-7.283422242979070022e-16	2.718396375821155448e-30	2.494312350246709069e-29	-2.253937878877128668e-16
1.142857142857142128e+00	1.617977210931016037e-12	-2.447017448607140889e-13	1.750614206301497248e-14	2.316140062423342813e-28	3.224593324959726236e-12	-4.877614951683796701e-13	3.470396724365316936e-14	1.195871185351119004e-27	-1.498960854635686441e-29	1.340416918087681106e-28	-1.791315420999815054e-15	-7.077998633461256231e-31	5.558122448732835462e-29	-6.348373126876703723e-16
1.371428571428570553e+00	2.681879453242040267e-12	-4.056587986851700359e-13	2.889141313301378950e-14	4.042736065105931205e-28	4.654572310110733784e-12	-7.041871104819952542e-13	4.981056093124485051e-14	7.553857511736329036e-28	-1.040974971659290399e-29	-2.637136594870202252e-28	-3.683782314408758665e-15	-3.087171227138788022e-30	-4.696183395419089547e-30	-1.476844698838243257e-15
1.599999999999998979e+00	4.133446640325360590e-12	-6.253051917297756798e-13	4.434183158081036077e-14	5.284196473779614146e-28	6.350606443489530907e-12	-9.609529695701503418e-13	6.759558070911005688e-14	5.431389287947365890e-28	1.920307866973970490e-28	7.849446988678506392e-28	-6.716470922643064943e-15	4.080558001798051013e-29	1.747197477743752327e-28	-3.012038052585228420e-15
1.828571428571427404e+00	6.033920199158027390e-12	-9.129331434980259884e-13	6.446863770150332071e-14	-1.474548282762611320e-28	8.314571819892922300e-12	-1.258372288986096337e-12	8.805477677803176285e-14	-2.956950830987225446e-27	3.218617024173880583e-28	2.968071805839734720e-28	-1.124920336833116085e-14	1.143739691419548825e-28	2.425613890507119956e-28	-5.583284536775206285e-15
2.057142857142856052e+00	8.444966764402212750e-12	-1.277906128428274625e-12	8.988252430457177812e-14	9.366927406918336808e-30	1.054832872294330974e-11	-1.596756809069837027e-12	1.111857538884244712e-13	6.860951811139099684e-28	1.924187276806241267e-28	-2.819619722924844501e-27	-1.772630755564146101e-14	1.583553926118118353e-28	-4.019231190463955675e-28	-9.635011978064683583e-15
2.285714285714284255e+00	1.142867181361822202e-11	-1.729657464326227861e-12	1.211922014097625895e-13	-7.592340641493101748e-28	1.305370959032005812e-11	-1.976412094553548868e-12	1.369798373352099811e-13	-3.362629338058505136e-27	5.596695251355787630e-28	2.354370722651364039e-28	-2.672962529043971708e-14	2.862798554999439209e-28	-3.481089311000787636e-28	-1.574464061587946560e-14
2.514285714285712459e+00	1.504753179127030339e-11	-2.277688050838165642e-12	1.590010424191978636e-13	-1.098227979321211149e-27	1.583251240222787984e-11	-2.397633815989731553e-12	1.654136794162795765e-13	-1.483098378877068666e-27	3.902686291264271605e-28	1.599609987506263687e-27	-3.903212004683698379e-14	3.754841135859842777e-28	1.751620890135235983e-29	-2.466626805515647640e-14
2.742857142857141106e+00	1.936444665274025028e-11	-2.931563798642822649e-12	2.039024665320329798e-13	-7.649386439407628020e-28	1.888650251893101320e-11	-2.860706396645374051e-12	1.964437304936535454e-13	1.458140842289460821e-27	9.441621440672917964e-28	-8.885141652510540389e-28	-5.562871970560464737e-14	5.912926036585082219e-28	-1.855727431560314986e-28	-3.738140398786611432e-14
2.971428571428569754e+00	2.444271479036755134e-11	-3.700913413296806141e-12	2.564752780384693896e-13	-1.369702921590126673e-27	2.221742310211943124e-11	-3.365904564111175606e-12	2.300060503406591065e-13	-2.645843714715965524e-27	-1.141408581761408330e-28	4.413906298050158959e-28	-7.772435700678395176e-14	5.652032646468189143e-28	-8.468345634345640212e-29	-5.514697130370245535e-14
